Timestep,Duration,AL,AT,AR,BL,BT,BR,CL,CT,CR,DL,DT,DR
0.00,8.54,g,g,g,r,r,r,g,g,g,r,r,r
8.54,3.00,y,y,y,r,r,r,y,y,y,r,r,r
11.54,4.00,r,r,r,r,r,r,r,r,r,r,r,r
15.54,12.00,r,r,r,g,g,g,r,r,r,r,r,r
27.54,51.00,r,r,r,g,g,g,r,r,r,g,g,g
78.54,3.00,r,r,r,y,y,y,r,r,r,y,y,y
81.54,4.00,r,r,r,r,r,r,r,r,r,r,r,r
85.54,43.00,g,g,g,r,r,r,g,g,g,r,r,r
128.54,3.00,y,y,y,r,r,r,y,y,y,r,r,r
131.54,4.00,r,r,r,r,r,r,r,r,r,r,r,r
135.54,12.00,r,r,r,g,g,g,r,r,r,r,r,r
147.54,51.00,r,r,r,g,g,g,r,r,r,g,g,g
198.54,3.00,r,r,r,y,y,y,r,r,r,y,y,y
201.54,4.00,r,r,r,r,r,r,r,r,r,r,r,r
205.54,43.00,g,g,g,r,r,r,g,g,g,r,r,r
248.54,3.00,y,y,y,r,r,r,y,y,y,r,r,r
251.54,4.00,r,r,r,r,r,r,r,r,r,r,r,r
255.54,12.00,r,r,r,g,g,g,r,r,r,r,r,r
267.54,51.00,r,r,r,g,g,g,r,r,r,g,g,g
318.54,3.00,r,r,r,y,y,y,r,r,r,y,y,y
321.54,4.00,r,r,r,r,r,r,r,r,r,r,r,r
325.54,43.00,g,g,g,r,r,r,g,g,g,r,r,r
368.54,3.00,y,y,y,r,r,r,y,y,y,r,r,r
371.54,4.00,r,r,r,r,r,r,r,r,r,r,r,r
375.54,12.00,r,r,r,g,g,g,r,r,r,r,r,r
387.54,51.00,r,r,r,g,g,g,r,r,r,g,g,g
438.54,3.00,r,r,r,y,y,y,r,r,r,y,y,y
441.54,4.00,r,r,r,r,r,r,r,r,r,r,r,r
445.54,43.00,g,g,g,r,r,r,g,g,g,r,r,r
488.54,3.00,y,y,y,r,r,r,y,y,y,r,r,r
491.54,4.00,r,r,r,r,r,r,r,r,r,r,r,r
495.54,12.00,r,r,r,g,g,g,r,r,r,r,r,r
507.54,51.00,r,r,r,g,g,g,r,r,r,g,g,g
558.54,3.00,r,r,r,y,y,y,r,r,r,y,y,y
561.54,4.00,r,r,r,r,r,r,r,r,r,r,r,r
565.54,43.00,g,g,g,r,r,r,g,g,g,r,r,r
608.54,3.00,y,y,y,r,r,r,y,y,y,r,r,r
611.54,4.00,r,r,r,r,r,r,r,r,r,r,r,r
615.54,12.00,r,r,r,g,g,g,r,r,r,r,r,r
627.54,51.00,r,r,r,g,g,g,r,r,r,g,g,g
678.54,3.00,r,r,r,y,y,y,r,r,r,y,y,y
681.54,4.00,r,r,r,r,r,r,r,r,r,r,r,r
685.54,43.00,g,g,g,r,r,r,g,g,g,r,r,r
728.54,3.00,y,y,y,r,r,r,y,y,y,r,r,r
731.54,4.00,r,r,r,r,r,r,r,r,r,r,r,r
735.54,12.00,r,r,r,g,g,g,r,r,r,r,r,r
747.54,51.00,r,r,r,g,g,g,r,r,r,g,g,g
798.54,3.00,r,r,r,y,y,y,r,r,r,y,y,y
801.54,4.00,r,r,r,r,r,r,r,r,r,r,r,r
805.54,43.00,g,g,g,r,r,r,g,g,g,r,r,r
848.54,3.00,y,y,y,r,r,r,y,y,y,r,r,r
851.54,4.00,r,r,r,r,r,r,r,r,r,r,r,r
855.54,12.00,r,r,r,g,g,g,r,r,r,r,r,r
867.54,15.46,r,r,r,g,g,g,r,r,r,g,g,g
